row_id,order_id,created_at,item_name,item_cat,item_size,item_price,quantity,cust_firstname,cust_lastname,delivery,delivery_address1,delivery_address2,delivery_city,delivery_postcode
14,1503,01/01/2025 05:48,Margherita,Special Pizza,Large,15,5,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003
15,1503,01/01/2025 05:48,Chocolate Brownie,Desserts,N/A,5,5,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003
16,1503,01/01/2025 05:48,Coca Cola,Beverages,33CL,3,3,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003
17,1503,01/01/2025 05:48,Pepperoni,Signature Pizza,Regular,15,1,Bryan,Steele,TRUE,6893 Derrick Ports Apt. 688,Apt. 307,New York,10003
18,1317,01/01/2025 06:48,Chocolate Brownie,Desserts,N/A,5,4,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004
19,1317,01/01/2025 06:48,Pepperoni,Signature Pizza,Regular,15,5,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004
20,1317,01/01/2025 06:48,Coca Cola,Beverages,1.5L,6,1,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004
21,1317,01/01/2025 06:48,Coca Cola,Beverages,1.5L,6,1,Derrick,Brown,TRUE,5233 David Place,Suite 961,New York,10004
22,1093,01/01/2025 07:37,Garlic Bread,Sides,N/A,6,4,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002
23,1093,01/01/2025 07:37,Chocolate Brownie,Desserts,N/A,5,4,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002
24,1093,01/01/2025 07:37,Garlic Bread,Sides,N/A,6,1,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002
25,1093,01/01/2025 07:37,Pepperoni,Signature Pizza,Regular,15,5,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002
26,1093,01/01/2025 07:37,Pepperoni,Signature Pizza,Regular,15,5,Joshua,Perez,TRUE,77973 Miller Via Apt. 608,Apt. 101,New York,10002
27,1490,01/01/2025 08:00,Coca Cola,Beverages,33CL,3,5,Christina,Jones,TRUE,01067 Davis Haven Suite 705,Apt. 851,Philadelphia,19114
28,1199,01/01/2025 08:12,Chocolate Brownie,Desserts,N/A,5,5,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004
29,1199,01/01/2025 08:12,Margherita,Special Pizza,Regular,13,3,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004
30,1199,01/01/2025 08:12,Margherita,Special Pizza,Regular,13,5,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004
31,1199,01/01/2025 08:12,Coca Cola,Beverages,1.5L,6,1,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004
32,1199,01/01/2025 08:12,Chocolate Brownie,Desserts,N/A,5,2,Denise,Ramirez,FALSE,4673 Victoria Port,Suite 270,New York,10004
33,1294,01/01/2025 08:44,Garlic Bread,Sides,N/A,6,1,Nathan,Hansen,FALSE,,,Philadelphia,19114
34,1159,01/01/2025 10:35,Pepperoni,Signature Pizza,Regular,15,5,Walter,Henry,TRUE,1632 Wu Pines Apt. 101,Suite 739,New York,10007
35,1896,01/01/2025 11:30,Margherita,Special Pizza,Regular,13,1,Justin,Johnston,TRUE,0889 Christopher Center Suite 235,Suite 588,Philadelphia,19106
36,1896,01/01/2025 11:30,Garlic Bread,Sides,N/A,6,2,Justin,Johnston,TRUE,0889 Christopher Center Suite 235,Suite 588,Philadelphia,19106
37,1575,01/01/2025 11:30,Margherita,Special Pizza,Large,15,2,Kelly,Jenkins,TRUE,322 Cox Isle Suite 861,Apt. 544,New York,10007
38,1858,01/01/2025 12:27,Chocolate Brownie,Desserts,N/A,5,5,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102
39,1858,01/01/2025 12:27,Margherita,Special Pizza,Large,15,1,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102
40,1858,01/01/2025 12:27,Garlic Bread,Sides,N/A,6,4,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102
41,1858,01/01/2025 12:27,Pepperoni,Signature Pizza,Large,17,1,Matthew,Reyes,FALSE,38274 Archer Place,Suite 477,Philadelphia,19102
42,1418,01/01/2025 12:40,Chocolate Brownie,Desserts,N/A,5,4,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111
43,1418,01/01/2025 12:40,Garlic Bread,Sides,N/A,6,5,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111
44,1418,01/01/2025 12:40,Coca Cola,Beverages,1.5L,6,3,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111
45,1418,01/01/2025 12:40,Coca Cola,Beverages,33CL,3,4,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,
46,1418,01/01/2025 12:40,Coca Cola,Beverages,1.5L,6,3,Curtis,Clark,FALSE,5353 Christine Prairie,Suite 655,Philadelphia,19111
47,1948,01/01/2025 12:45,Pepperoni,Signature Pizza,Regular,15,3,Kimberly,Robertson,TRUE,524 Patel Trace,Apt. 879,Philadelphia,19104
48,1507,01/01/2025 12:55,Garlic Bread,Sides,N/A,6,1,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004
49,1507,01/01/2025 12:55,Coca Cola,Beverages,33CL,3,5,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004
50,1507,01/01/2025 12:55,Pepperoni,Signature Pizza,Large,17,2,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004
51,1507,01/01/2025 12:55,Chocolate Brownie,Desserts,N/A,5,3,Ashley,Yoder,FALSE,873 Dominguez Turnpike Suite 774,Suite 005,New York,10004
52,1681,01/01/2025 13:38,Coca Cola,Beverages,33CL,3,3,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009
53,1681,01/01/2025 13:38,Pepperoni,Signature Pizza,Large,17,3,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009
54,1681,01/01/2025 13:38,Pepperoni,Signature Pizza,Regular,15,5,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009
55,1681,01/01/2025 13:38,Chocolate Brownie,Desserts,N/A,5,4,Virginia,Petersen,TRUE,5425 Randall Lodge Suite 866,Apt. 423,New York,10009
56,1776,01/01/2025 14:41,Garlic Bread,Sides,N/A,6,4,Sarah,Moore,FALSE,703 Spencer Hollow Suite 663,Suite 803,Philadelphia,19103
57,1776,01/01/2025 14:41,Pepperoni,Signature Pizza,Large,17,1,Sarah,Moore,FALSE,703 Spencer Hollow Suite 663,Suite 803,Philadelphia,19103
58,1776,01/01/2025 14:41,Garlic Bread,Sides,N/A,6,1,Sarah,Moore,FALSE,703 Spencer Hollow Suite 663,Suite 803,Philadelphia,19103
59,1883,01/01/2025 15:01,Garlic Bread,Sides,N/A,6,3,Courtney,Davis,TRUE,86201 Debra Glens,Apt. 645,New York,10006
60,1606,01/01/2025 15:22,Chocolate Brownie,Desserts,N/A,5,4,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107
61,1606,01/01/2025 15:22,Pepperoni,Signature Pizza,Regular,15,5,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107
62,1606,01/01/2025 15:22,Chocolate Brownie,Desserts,N/A,5,5,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107
63,1606,01/01/2025 15:22,Chocolate Brownie,Desserts,N/A,5,4,Michael,Reilly,TRUE,5087 Benjamin Ways Apt. 133,Suite 206,Philadelphia,19107
64,1287,01/01/2025 16:05,Coca Cola,,1.5L,6,3,Tara,Byrd,TRUE,9268 Powers Route,Apt. 268,New York,10005
65,1287,01/01/2025 16:05,Garlic Bread,Sides,N/A,6,1,Tara,Byrd,TRUE,9268 Powers Route,Apt. 268,New York,10005
66,1287,01/01/2025 16:05,Margherita,Special Pizza,Large,15,1,Tara,Byrd,TRUE,9268 Powers Route,Apt. 268,New York,10005
67,1464,01/01/2025 16:24,Pepperoni,Signature Pizza,Regular,15,4,Robert,Turner,TRUE,2710 Rachel Meadows,Apt. 002,Philadelphia,19115
68,1464,01/01/2025 16:24,Margherita,Special Pizza,Large,15,4,Robert,Turner,TRUE,2710 Rachel Meadows,Apt. 002,Philadelphia,19115
69,1464,01/01/2025 16:24,Margherita,Special Pizza,Regular,13,5,Robert,Turner,TRUE,2710 Rachel Meadows,Apt. 002,Philadelphia,19115
70,1590,01/01/2025 19:55,Pepperoni,Signature Pizza,Large,17,1,Thomas,Mejia,TRUE,1701 Rivas Plaza Apt. 146,Apt. 821,Philadelphia,19115
71,1590,01/01/2025 19:55,Garlic Bread,Sides,N/A,6,1,Thomas,Mejia,TRUE,1701 Rivas Plaza Apt. 146,Apt. 821,Philadelphia,19115
72,1590,01/01/2025 19:55,Pepperoni,Signature Pizza,Regular,15,4,Thomas,Mejia,TRUE,1701 Rivas Plaza Apt. 146,Apt. 821,Philadelphia,19115
73,1590,01/01/2025 19:55,Pepperoni,Signature Pizza,Regular,15,2,Thomas,Mejia,TRUE,1701 Rivas Plaza Apt. 146,Apt. 821,Philadelphia,19115
74,1676,01/01/2025 21:15,Pepperoni,Signature Pizza,Large,17,1,Samantha,Hall,TRUE,52409 Troy Field Suite 527,Apt. 055,Philadelphia,19114
75,1676,01/01/2025 21:15,Coca Cola,Beverages,33CL,3,3,Samantha,Hall,TRUE,52409 Troy Field Suite 527,Apt. 055,Philadelphia,19114
76,1497,01/01/2025 21:45,Chocolate Brownie,Desserts,N/A,5,3,Claire,Williams,TRUE,00583 Gutierrez Wells,Suite 147,New York,10006
77,1497,01/01/2025 21:45,Pepperoni,Signature Pizza,Regular,15,2,Claire,Williams,TRUE,00583 Gutierrez Wells,Suite 147,New York,10006
78,1375,01/01/2025 21:47,Garlic Bread,Sides,N/A,6,3,Margaret,Roberts,TRUE,19139 Collier Trail Apt. 261,Apt. 696,New York,10009
79,1375,01/01/2025 21:47,Margherita,Special Pizza,Large,15,4,Margaret,Roberts,TRUE,19139 Collier Trail Apt. 261,Apt. 696,New York,10009
80,1375,01/01/2025 21:47,Chocolate Brownie,Desserts,N/A,5,5,Margaret,Roberts,TRUE,19139 Collier Trail Apt. 261,Apt. 696,New York,10009
81,1757,01/01/2025 21:56,Garlic Bread,Sides,N/A,6,5,Kenneth,Walker,TRUE,5436 Hawkins Trail Apt. 746,Suite 694,New York,10005
82,1757,01/01/2025 21:56,Chocolate Brownie,Desserts,N/A,5,4,Kenneth,Walker,TRUE,5436 Hawkins Trail Apt. 746,Suite 694,New York,10005
83,1376,01/01/2025 22:14,Margherita,Special Pizza,Large,15,3,Bailey,Cochran,TRUE,08765 Johnson Walk Apt. 638,Apt. 301,Philadelphia,19104
84,1376,01/01/2025 22:14,Garlic Bread,Sides,N/A,6,3,Bailey,Cochran,TRUE,08765 Johnson Walk Apt. 638,Apt. 301,Philadelphia,19104
85,1376,01/01/2025 22:14,Coca Cola,Beverages,33CL,3,5,Bailey,Cochran,TRUE,08765 Johnson Walk Apt. 638,Apt. 301,Philadelphia,19104
86,1376,01/01/2025 22:14,Margherita,Special Pizza,Large,15,3,Bailey,Cochran,TRUE,08765 Johnson Walk Apt. 638,Apt. 301,Philadelphia,19104
87,1376,01/01/2025 22:14,Margherita,Special Pizza,Regular,13,4,Bailey,Cochran,TRUE,08765 Johnson Walk Apt. 638,Apt. 301,Philadelphia,19104
88,1856,02/01/2025 01:27,Margherita,Special Pizza,Regular,13,4,Amy,Bailey,TRUE,47928 Lawrence Oval,Apt. 750,Philadelphia,19114
89,1600,02/01/2025 01:35,Pepperoni,Signature Pizza,Large,17,3,Anthony,Palmer,TRUE,43516 Robin Mountain Apt. 553,Apt. 723,Philadelphia,19104
90,1600,02/01/2025 01:35,Garlic Bread,Sides,N/A,6,3,Anthony,Palmer,TRUE,43516 Robin Mountain Apt. 553,Apt. 723,Philadelphia,19104
91,1600,02/01/2025 01:35,Pepperoni,Signature Pizza,Regular,15,1,Anthony,Palmer,TRUE,43516 Robin Mountain Apt. 553,Apt. 723,Philadelphia,19104
92,1600,02/01/2025 01:35,Chocolate Brownie,Desserts,N/A,5,5,Anthony,Palmer,TRUE,43516 Robin Mountain Apt. 553,Apt. 723,Philadelphia,19104
93,1024,02/01/2025 01:49,Pepperoni,Signature Pizza,Large,17,2,Joseph,Howard,TRUE,8808 Thomas Greens,Apt. 946,Philadelphia,19106
94,1024,02/01/2025 01:49,Chocolate Brownie,Desserts,N/A,5,5,Joseph,Howard,TRUE,8808 Thomas Greens,Apt. 946,Philadelphia,19106
95,1024,02/01/2025 01:49,Chocolate Brownie,Desserts,N/A,5,2,Joseph,Howard,TRUE,8808 Thomas Greens,Apt. 946,Philadelphia,19106
96,1740,02/01/2025 04:10,Chocolate Brownie,Desserts,N/A,5,4,Sarah,Moreno,FALSE,024 Hudson Coves,Apt. 990,Philadelphia,19106
97,1740,02/01/2025 04:10,Pepperoni,Signature Pizza,Large,17,3,Sarah,Moreno,FALSE,024 Hudson Coves,Apt. 990,Philadelphia,19106
98,1860,02/01/2025 07:01,Garlic Bread,Sides,N/A,6,3,Samantha,Pham,TRUE,77733 Juan Shoals,Suite 681,Philadelphia,19103
99,1094,02/01/2025 07:44,Coca Cola,Beverages,33CL,3,2,Erik,Schwartz,TRUE,50157 Christopher Forge Apt. 149,Suite 160,Philadelphia,19107
100,1094,02/01/2025 07:44,Coca Cola,Beverages,33CL,3,1,Erik,Schwartz,TRUE,50157 Christopher Forge Apt. 149,Suite 160,Philadelphia,19107
101,1281,02/01/2025 07:55,Garlic Bread,Sides,N/A,6,2,Amy,Howard,TRUE,5148 Valdez Valleys,Apt. 450,New York,10007
102,1005,02/01/2025 08:07,Garlic Bread,Sides,N/A,6,5,Sarah,Davis,TRUE,7060 Gordon Mill,Apt. 971,New York,10009
103,1449,02/01/2025 08:28,Chocolate Brownie,Desserts,N/A,5,2,Maria,Thomas,FALSE,90794 Ryan Branch,Apt. 462,New York,10007
104,1449,02/01/2025 08:28,Margherita,Special Pizza,Regular,13,2,Maria,Thomas,FALSE,90794 Ryan Branch,Apt. 462,New York,10007
105,1449,02/01/2025 08:28,Coca Cola,Beverages,1.5L,6,2,Maria,Thomas,FALSE,90794 Ryan Branch,Apt. 462,New York,10007
106,1449,02/01/2025 08:28,Coca Cola,Beverages,33CL,3,3,Maria,Thomas,FALSE,90794 Ryan Branch,Apt. 462,New York,10007
107,1449,02/01/2025 08:28,Pepperoni,Signature Pizza,Large,17,5,Maria,Thomas,FALSE,90794 Ryan Branch,Apt. 462,New York,10007
108,1670,02/01/2025 08:28,Pepperoni,Signature Pizza,Large,17,2,Michael,Bender,TRUE,24043 Mckinney Street Suite 151,Suite 988,Philadelphia,19115
109,1670,02/01/2025 08:28,Coca Cola,Beverages,33CL,3,2,Michael,Bender,TRUE,24043 Mckinney Street Suite 151,Suite 988,Philadelphia,19115
110,1670,02/01/2025 08:28,Garlic Bread,Sides,N/A,6,5,Michael,Bender,TRUE,24043 Mckinney Street Suite 151,Suite 988,Philadelphia,19115
111,1099,02/01/2025 09:03,Garlic Bread,Sides,N/A,6,4,Linda,Norton,TRUE,0310 Jennifer Islands Apt. 890,Suite 781,New York,10003
112,1895,02/01/2025 10:32,Coca Cola,Beverages,33CL,3,4,Amy,Blankenship,TRUE,1445 Leslie Dam Suite 563,Apt. 907,New York,10004
113,1895,02/01/2025 10:32,Pepperoni,Signature Pizza,Large,17,1,Amy,Blankenship,TRUE,1445 Leslie Dam Suite 563,Apt. 907,New York,10004
114,1796,02/01/2025 10:42,Margherita,Special Pizza,Large,15,2,Cynthia,Mckenzie,FALSE,380 Patel Mountain Apt. 763,Suite 899,Philadelphia,19111
115,1796,02/01/2025 10:42,Chocolate Brownie,Desserts,N/A,5,5,Cynthia,Mckenzie,FALSE,380 Patel Mountain Apt. 763,Suite 899,Philadelphia,19111
116,1223,02/01/2025 12:20,Coca Cola,Beverages,33CL,3,1,Cesar,Stevenson,FALSE,91634 Brianna Divide Suite 500,Suite 793,New York,10006
117,1223,02/01/2025 12:20,Margherita,Special Pizza,Large,15,2,Cesar,Stevenson,FALSE,91634 Brianna Divide Suite 500,Suite 793,New York,10006
118,1223,02/01/2025 12:20,Chocolate Brownie,Desserts,N/A,5,1,Cesar,Stevenson,FALSE,91634 Brianna Divide Suite 500,Suite 793,New York,10006
119,1699,02/01/2025 12:34,Pepperoni,Signature Pizza,Large,17,4,Nichole,Pope,TRUE,12728 Gray Key Suite 938,Apt. 936,New York,10009
120,1699,02/01/2025 12:34,Coca Cola,Beverages,33CL,3,3,Nichole,Pope,TRUE,12728 Gray Key Suite 938,Apt. 936,New York,10009
121,1699,02/01/2025 12:34,Coca Cola,Beverages,1.5L,6,1,Nichole,Pope,TRUE,12728 Gray Key Suite 938,Apt. 936,New York,10009
122,1699,02/01/2025 12:34,Chocolate Brownie,Desserts,N/A,5,1,Nichole,Pope,TRUE,12728 Gray Key Suite 938,Apt. 936,New York,10009
123,1699,02/01/2025 12:34,Chocolate Brownie,Desserts,N/A,5,1,Nichole,Pope,TRUE,12728 Gray Key Suite 938,Apt. 936,New York,10009
124,1226,02/01/2025 13:12,Coca Cola,Beverages,33CL,3,5,Laura,Downs,TRUE,914 Carrie Way Apt. 529,Apt. 032,Philadelphia,19107
125,1226,02/01/2025 13:12,Coca Cola,Beverages,1.5L,6,1,Laura,Downs,TRUE,914 Carrie Way Apt. 529,Apt. 032,Philadelphia,19107
126,1226,02/01/2025 13:12,Chocolate Brownie,Desserts,N/A,5,3,Laura,Downs,TRUE,914 Carrie Way Apt. 529,Apt. 032,Philadelphia,19107
127,1226,02/01/2025 13:12,Chocolate Brownie,Desserts,N/A,5,3,Laura,Downs,TRUE,914 Carrie Way Apt. 529,Apt. 032,Philadelphia,19107
128,1155,02/01/2025 13:48,Coca Cola,Beverages,33CL,3,1,James,King,FALSE,2057 Taylor Inlet,Suite 152,New York,10007
129,1155,02/01/2025 13:48,Margherita,Special Pizza,Large,15,5,James,King,FALSE,2057 Taylor Inlet,Suite 152,New York,10007
130,1155,02/01/2025 13:48,Chocolate Brownie,Desserts,N/A,5,4,James,King,FALSE,2057 Taylor Inlet,Suite 152,New York,10007
131,1997,02/01/2025 14:12,Margherita,Special Pizza,Regular,13,3,Tara,Hall,TRUE,931 Jason Ferry,Apt. 166,New York,10001
132,1057,02/01/2025 14:15,Margherita,Special Pizza,Large,15,2,Eduardo,Castro,TRUE,47682 Estrada Keys,Suite 391,New York,10006
133,1446,02/01/2025 14:49,Coca Cola,Beverages,1.5L,6,3,Jessica,Walker,TRUE,6103 Howell Points,Apt. 046,Philadelphia,19106
134,1446,02/01/2025 14:49,Chocolate Brownie,Desserts,N/A,5,1,Jessica,Walker,TRUE,6103 Howell Points,Apt. 046,Philadelphia,19106
135,1446,02/01/2025 14:49,Margherita,Special Pizza,Regular,13,3,Jessica,Walker,TRUE,6103 Howell Points,Apt. 046,Philadelphia,19106
136,1340,02/01/2025 16:23,Coca Cola,Beverages,33CL,3,1,Ryan,Harrington,TRUE,80727 Reed Common,Apt. 914,Philadelphia,19115
137,1340,02/01/2025 16:23,Garlic Bread,Sides,N/A,6,4,Ryan,Harrington,TRUE,80727 Reed Common,Apt. 914,Philadelphia,19115
138,1340,02/01/2025 16:23,Garlic Bread,Sides,N/A,6,2,Ryan,Harrington,TRUE,80727 Reed Common,Apt. 914,Philadelphia,19115
139,1340,02/01/2025 16:23,Pepperoni,Signature Pizza,Regular,15,1,Ryan,Harrington,TRUE,80727 Reed Common,Apt. 914,Philadelphia,19115
140,1340,02/01/2025 16:23,Margherita,Special Pizza,Large,15,3,Ryan,Harrington,TRUE,80727 Reed Common,Apt. 914,Philadelphia,19115
141,1541,02/01/2025 17:12,Pepperoni,Signature Pizza,Large,17,5,Angela,Salazar,TRUE,6712 Madison Overpass,Suite 781,New York,10005
142,1541,02/01/2025 17:12,Pepperoni,Signature Pizza,Regular,15,2,Angela,Salazar,TRUE,6712 Madison Overpass,Suite 781,New York,10005
143,1541,02/01/2025 17:12,Garlic Bread,Sides,N/A,6,1,Angela,Salazar,TRUE,6712 Madison Overpass,Suite 781,New York,10005
144,1541,02/01/2025 17:12,Pepperoni,Signature Pizza,Large,17,2,Angela,Salazar,TRUE,6712 Madison Overpass,Suite 781,New York,10005
145,1541,02/01/2025 17:12,Margherita,Special Pizza,Large,15,4,Angela,Salazar,TRUE,6712 Madison Overpass,Suite 781,New York,10005
146,1132,02/01/2025 17:29,Garlic Bread,Sides,N/A,6,5,Andrea,Contreras,TRUE,315 Kathleen Springs Suite 010,Apt. 947,Philadelphia,19103
147,1132,02/01/2025 17:29,Margherita,Special Pizza,Large,15,2,Andrea,Contreras,TRUE,315 Kathleen Springs Suite 010,Apt. 947,Philadelphia,19103
148,1132,02/01/2025 17:29,Coca Cola,Beverages,1.5L,6,3,Andrea,Contreras,TRUE,315 Kathleen Springs Suite 010,Apt. 947,Philadelphia,19103
149,1132,02/01/2025 17:29,Margherita,Special Pizza,Regular,13,4,Andrea,Contreras,TRUE,315 Kathleen Springs Suite 010,Apt. 947,Philadelphia,19103
150,1599,02/01/2025 17:34,Margherita,Special Pizza,Regular,13,4,Thomas,Fisher,FALSE,381 Spencer Shores,Suite 848,New York,10009
151,1599,02/01/2025 17:34,Margherita,Special Pizza,Regular,13,5,Thomas,Fisher,FALSE,381 Spencer Shores,Suite 848,New York,10009
152,1599,02/01/2025 17:34,Garlic Bread,Sides,N/A,6,4,Thomas,Fisher,FALSE,381 Spencer Shores,Suite 848,New York,10009
153,1599,02/01/2025 17:34,Chocolate Brownie,Desserts,N/A,5,5,Thomas,Fisher,FALSE,381 Spencer Shores,Suite 848,New York,10009
154,1599,02/01/2025 17:34,Chocolate Brownie,Desserts,N/A,5,2,Thomas,Fisher,FALSE,381 Spencer Shores,Suite 848,New York,10009
155,1190,02/01/2025 17:37,Pepperoni,Signature Pizza,Regular,15,1,Jennifer,Sullivan,TRUE,3944 Bowers Wells Suite 302,Suite 170,Philadelphia,19107
156,1190,02/01/2025 17:37,Pepperoni,Signature Pizza,Large,17,5,Jennifer,Sullivan,TRUE,3944 Bowers Wells Suite 302,Suite 170,Philadelphia,19107
157,1190,02/01/2025 17:37,Chocolate Brownie,Desserts,N/A,5,1,Jennifer,Sullivan,TRUE,3944 Bowers Wells Suite 302,Suite 170,Philadelphia,19107
158,1190,02/01/2025 17:37,Coca Cola,Beverages,33CL,3,4,Jennifer,Sullivan,TRUE,3944 Bowers Wells Suite 302,Suite 170,Philadelphia,19107
159,1190,02/01/2025 17:37,Garlic Bread,Sides,N/A,6,5,Jennifer,Sullivan,TRUE,3944 Bowers Wells Suite 302,Suite 170,Philadelphia,19107
160,1990,02/01/2025 18:29,Margherita,Special Pizza,Regular,13,2,Wayne,Stafford,FALSE,3472 Sarah Via Suite 568,Apt. 153,Philadelphia,19104
161,1548,02/01/2025 18:38,Margherita,Special Pizza,Large,15,2,Donald,Callahan,FALSE,058 Hoover Vista Suite 054,Apt. 926,Philadelphia,19104
162,1548,02/01/2025 18:38,Chocolate Brownie,Desserts,N/A,5,1,Donald,Callahan,FALSE,058 Hoover Vista Suite 054,Apt. 926,Philadelphia,19104
163,1548,02/01/2025 18:38,Margherita,Special Pizza,Large,15,3,Donald,Callahan,FALSE,058 Hoover Vista Suite 054,Apt. 926,Philadelphia,19104
164,1548,02/01/2025 18:38,Chocolate Brownie,Desserts,N/A,5,4,Donald,Callahan,FALSE,058 Hoover Vista Suite 054,Apt. 926,Philadelphia,19104
165,1194,02/01/2025 19:08,Margherita,Special Pizza,Large,15,2,Heather,Watkins,FALSE,5190 Parker Mall Apt. 606,Apt. 406,Philadelphia,19102
166,1194,02/01/2025 19:08,Coca Cola,Beverages,1.5L,6,2,Heather,Watkins,FALSE,5190 Parker Mall Apt. 606,Apt. 406,Philadelphia,19102
167,1194,02/01/2025 19:08,Pepperoni,Signature Pizza,Regular,15,4,Heather,Watkins,FALSE,5190 Parker Mall Apt. 606,Apt. 406,Philadelphia,19102
168,1194,02/01/2025 19:08,Chocolate Brownie,Desserts,N/A,5,3,Heather,Watkins,FALSE,5190 Parker Mall Apt. 606,Apt. 406,Philadelphia,19102
169,1194,02/01/2025 19:08,Garlic Bread,Sides,N/A,6,1,Heather,Watkins,FALSE,5190 Parker Mall Apt. 606,Apt. 406,Philadelphia,19102
170,1117,02/01/2025 19:34,Margherita,Special Pizza,Large,15,4,Alexis,Willis,TRUE,646 Howell Gardens,Suite 572,New York,10004
171,1117,02/01/2025 19:34,Garlic Bread,Sides,N/A,6,5,Alexis,Willis,TRUE,646 Howell Gardens,Suite 572,New York,10004
172,1117,02/01/2025 19:34,Garlic Bread,Sides,N/A,6,5,Alexis,Willis,TRUE,646 Howell Gardens,Suite 572,New York,10004
173,1117,02/01/2025 19:34,Margherita,Special Pizza,Regular,13,4,Alexis,Willis,TRUE,646 Howell Gardens,Suite 572,New York,10004
